mnemonic,dataset,category,description,frequency,last_updated
FICC-SPONSORED_REPO_VOL,ficc,,,,2026-04-09
FICC-SPONSORED_REVREPO_VOL,ficc,,,,2026-04-09
FPF-ALLQHF_ALTERNATE_COUNT,fpf,,,,2026-04-09
FPF-ALLQHF_CANGATE_PERCENT,fpf,,,,2026-04-09
FPF-ALLQHF_CANSUSPEND_PERCENT,fpf,,,,2026-04-09
FPF-ALLQHF_CDSDOWN250BPS_P5,fpf,,,,2026-04-09
FPF-ALLQHF_CDSDOWN250BPS_P50,fpf,,,,2026-04-09
FPF-ALLQHF_CDSUP250BPS_P5,fpf,,,,2026-04-09
FPF-ALLQHF_CDSUP250BPS_P50,fpf,,,,2026-04-09
FPF-ALLQHF_COUNT,fpf,,,,2026-04-09
FPF-ALLQHF_CREDIT_OPENPOSITIONS_AVERAGE,fpf,,,,2026-04-09
FPF-ALLQHF_CURRENCYDOWN20P_P5,fpf,,,,2026-04-09
FPF-ALLQHF_CURRENCYDOWN20P_P50,fpf,,,,2026-04-09
FPF-ALLQHF_CURRENCYUP20P_P5,fpf,,,,2026-04-09
FPF-ALLQHF_CURRENCYUP20P_P50,fpf,,,,2026-04-09
FPF-ALLQHF_CURRENTLYGATES_PERCENT,fpf,,,,2026-04-09
FPF-ALLQHF_CURRENTLYSUSPENSIONS_PERCENT,fpf,,,,2026-04-09
FPF-ALLQHF_EQDOWN20P_P5,fpf,,,,2026-04-09
FPF-ALLQHF_EQDOWN20P_P50,fpf,,,,2026-04-09
FPF-ALLQHF_EQUITY_OPENPOSITIONS_AVERAGE,fpf,,,,2026-04-09
FPF-ALLQHF_EQUP20P_P5,fpf,,,,2026-04-09
FPF-ALLQHF_EQUP20P_P50,fpf,,,,2026-04-09
FPF-ALLQHF_EVENT_OPENPOSITIONS_AVERAGE,fpf,,,,2026-04-09
FPF-ALLQHF_FINANCINGLIQUIDITYLE7_SUM,fpf,,,,2026-04-09
FPF-ALLQHF_FINANCINGLIQUIDTYGT1LE7_PERCENT,fpf,,,,2026-04-09
FPF-ALLQHF_FINANCINGLIQUIDTYGT1LE7_SUM,fpf,,,,2026-04-09
FPF-ALLQHF_FINANCINGLIQUIDTYGT7LE90_PERCENT,fpf,,,,2026-04-09
FPF-ALLQHF_FINANCINGLIQUIDTYGT7LE90_SUM,fpf,,,,2026-04-09
FPF-ALLQHF_FINANCINGLIQUIDTYGT90_PERCENT,fpf,,,,2026-04-09
FPF-ALLQHF_FINANCINGLIQUIDTYGT90_SUM,fpf,,,,2026-04-09
FPF-ALLQHF_FINANCINGLIQUIDTYLE1_PERCENT,fpf,,,,2026-04-09
FPF-ALLQHF_FINANCINGLIQUIDTYLE1_SUM,fpf,,,,2026-04-09
FPF-ALLQHF_FUTURES_OPENPOSITIONS_AVERAGE,fpf,,,,2026-04-09
FPF-ALLQHF_GAVN10_BORROWING_PERCENT,fpf,,,,2026-04-09
FPF-ALLQHF_GAVN10_CASHRATIO_AVERAGE,fpf,,,,2026-04-09
FPF-ALLQHF_GAVN10_COUNT_AVERAGE,fpf,,,,2026-04-09
FPF-ALLQHF_GAVN10_DERVOLOTC_AVERAGE,fpf,,,,2026-04-09
FPF-ALLQHF_GAVN10_GAV_SHARE,fpf,,,,2026-04-09
FPF-ALLQHF_GAVN10_LEVERAGERATIO_AVERAGE,fpf,,,,2026-04-09
FPF-ALLQHF_GAVN10_OPENPOSITIONS_SUM,fpf,,,,2026-04-09
FPF-ALLQHF_GAVN10_SHARE_AVERAGE,fpf,,,,2026-04-09
FPF-ALLQHF_GAVN11TO50_CASHRATIO_AVERAGE,fpf,,,,2026-04-09
FPF-ALLQHF_GAVN11TO50_COUNT_AVERAGE,fpf,,,,2026-04-09
FPF-ALLQHF_GAVN11TO50_DERVOLOTC_AVERAGE,fpf,,,,2026-04-09
FPF-ALLQHF_GAVN11TO50_LEVERAGERATIO_AVERAGE,fpf,,,,2026-04-09
FPF-ALLQHF_GAVN11TO50_SHARE_AVERAGE,fpf,,,,2026-04-09
FPF-ALLQHF_GAVN51_CASHRATIO_AVERAGE,fpf,,,,2026-04-09
